iter	RMSE
0	21.64072585
1	20.99701425
2	20.38940319
3	19.83526455
4	19.30083304
5	18.80894839
6	18.36172184
7	17.92097183
8	17.51475019
9	17.14800923
10	16.83539887
11	16.52295303
12	16.24592117
13	15.97773817
14	15.71852658
15	15.47747013
16	15.25479228
17	15.05814552
18	14.86714901
19	14.70537754
20	14.5465948
21	14.40590186
22	14.26590888
23	14.13115568
24	13.99927509
25	13.88721201
26	13.78882038
27	13.70605535
28	13.61358328
29	13.52548372
30	13.44115644
31	13.33412849
32	13.23425426
33	13.15017371
34	13.04817885
35	12.9715
36	12.87783013
37	12.81337795
38	12.74746238
39	12.6843131
40	12.63350129
41	12.57352878
42	12.51798178
43	12.47743896
44	12.41768151
45	12.34887568
46	12.30010574
47	12.25224173
48	12.19946648
49	12.15212477
50	12.10706625
51	12.06424148
52	12.019378
53	11.98818239
54	11.95590491
55	11.93090222
56	11.89707844
57	11.86154886
58	11.82523823
59	11.79552262
60	11.76976404
61	11.74941655
62	11.71430456
63	11.68766456
64	11.66769826
65	11.65236297
66	11.63187746
67	11.59841683
68	11.56843111
69	11.53946124
70	11.50587368
71	11.47857119
72	11.45092915
73	11.42505929
74	11.40192104
75	11.38140421
76	11.36050206
77	11.3416405
78	11.3202056
79	11.30282017
80	11.29030223
81	11.27893641
82	11.26667714
83	11.246317
84	11.23601745
85	11.22587047
86	11.21325988
87	11.2012364
88	11.18706099
89	11.17214763
90	11.15971178
91	11.14702539
92	11.13552946
93	11.12352795
94	11.11477415
95	11.09936419
96	11.07948309
97	11.06570752
98	11.05119373
99	11.041246
100	11.02860895
101	11.01825709
102	11.00705664
103	10.99675563
104	10.98089626
105	10.9660997
106	10.94509903
107	10.935261
108	10.92527734
109	10.90875159
110	10.89753299
111	10.88518709
112	10.87006759
113	10.86452986
114	10.85729625
115	10.84456369
116	10.82630897
117	10.81655218
118	10.80646995
119	10.78871045
120	10.78054921
121	10.77100469
122	10.76183996
123	10.74849317
124	10.73746475
125	10.7280458
126	10.7223037
127	10.71531347
128	10.70655879
129	10.69479975
130	10.68576584
131	10.67470873
132	10.66599181
133	10.65553364
134	10.63995252
135	10.62729074
136	10.61971116
137	10.60732422
138	10.59940749
139	10.59253391
140	10.58836516
141	10.58358705
142	10.57665383
143	10.57113284
144	10.5634345
145	10.55285033
146	10.54603652
147	10.53446913
148	10.52976959
149	10.52413625
150	10.51540536
151	10.51206193
152	10.5017198
153	10.49396133
154	10.48738531
155	10.47934405
156	10.47552721
157	10.46937272
158	10.46261379
159	10.45443348
160	10.4502756
161	10.43808719
162	10.42796137
163	10.41755607
164	10.40795445
165	10.40243821
166	10.39520253
167	10.38382517
168	10.37522653
169	10.36743988
170	10.36136342
171	10.35479673
172	10.34326989
173	10.33772036
174	10.33116884
175	10.32513452
176	10.3166868
177	10.31347473
178	10.30539385
179	10.30134773
180	10.2965877
181	10.29051511
182	10.28244063
183	10.27686413
184	10.2704588
185	10.26089976
186	10.25483179
187	10.24836165
188	10.24255502
189	10.23574808
190	10.22891592
191	10.22096047
192	10.21009705
193	10.20543819
194	10.19855766
195	10.19381721
196	10.18723254
197	10.17774917
198	10.17485183
199	10.17095816
200	10.16680459
201	10.16062214
202	10.1567806
203	10.14960293
204	10.14277594
205	10.13774196
206	10.13040245
207	10.12354158
208	10.11876724
209	10.11553191
210	10.10788116
211	10.10054927
212	10.08902423
213	10.08481758
214	10.07474859
215	10.07123435
216	10.06535182
217	10.05841921
218	10.05290963
219	10.04992814
220	10.04337489
221	10.03695391
222	10.03247856
223	10.0291836
224	10.02348352
225	10.01431592
226	10.00783665
227	10.00494532
228	9.999646709
229	9.996529613
230	9.989338268
231	9.985325111
232	9.976884184
233	9.972799307
234	9.968729028
235	9.964608573
236	9.958026901
237	9.952160024
238	9.947591046
239	9.942371607
240	9.937743018
241	9.929082941
242	9.923593751
243	9.920937824
244	9.912627255
245	9.908368941
246	9.90257926
247	9.893657663
248	9.888462908
249	9.880725923
250	9.873823864
251	9.870411899
252	9.860116755
253	9.856041535
254	9.851994323
255	9.848946471
256	9.839461238
257	9.835703484
258	9.825974753
259	9.822047877
260	9.817706561
261	9.812171151
262	9.807260053
263	9.802119652
264	9.798033191
265	9.79441633
266	9.786610969
267	9.779937042
268	9.776521115
269	9.771679478
270	9.763545343
271	9.759129192
272	9.753604711
273	9.749128776
274	9.74455321
275	9.73678265
276	9.733191443
277	9.728069966
278	9.725478032
279	9.719418427
280	9.714182872
281	9.707488533
282	9.69875058
283	9.695026484
284	9.692263175
285	9.688083483
286	9.684264458
287	9.6791661
288	9.676335314
289	9.669513353
290	9.665389414
291	9.663228885
292	9.659147258
293	9.65645438
294	9.6489892
295	9.643677637
296	9.640322204
297	9.637413355
298	9.634187858
299	9.629994968
300	9.624910268
301	9.621752545
302	9.616145721
303	9.611438342
304	9.605093291
305	9.602602202
306	9.598206195
307	9.595694093
308	9.591794809
309	9.589029057
310	9.583023912
311	9.579267175
312	9.575826337
313	9.57300838
314	9.570250156
315	9.566919917
316	9.561054847
317	9.556339939
318	9.552292521
319	9.54927496
320	9.546493655
321	9.54420358
322	9.537524726
323	9.534974848
324	9.532306531
325	9.525758687
326	9.520552534
327	9.518172127
328	9.514501487
329	9.509002242
330	9.503718964
331	9.499033911
332	9.492504762
333	9.489390645
334	9.484777908
335	9.482450368
336	9.478043732
337	9.474507772
338	9.469240539
